,temp,sf
0,0.01,0.32737028330211054
1,0.02,0.3007856096584142
2,0.03,0.2734532399127626
3,0.04,0.2575905254120927
4,0.05,0.22427573686707306
5,0.06,0.2100148642337021
6,0.07,0.19393232050473533
7,0.08,0.14648270340115047
8,0.09,0.11569461491691237
9,0.1,0.06914664286717898
10,0.11,0.03068154093017868
11,0.12,0.02085342894824983
12,0.13,0.013270006847296284
13,0.14,0.008679923340621712
14,0.15,0.006983339553750229
15,0.16,0.006808406200130686
16,0.17,0.005631802489814431
17,0.18,0.005078870651345563
18,0.19,0.005184438015776333
19,0.2,0.004782410180972116
20,0.21,0.004560973982942355
21,0.22,0.004389834561989343
22,0.23,0.004444574431672991
23,0.24,0.0040038791959819365
24,0.25,0.004339502907212341
25,0.26,0.004118570960667512
26,0.27,0.0037846112891935088
27,0.28,0.003755405073182257
28,0.29,0.003923918835592129
29,0.3,0.003925910847636258
